Kanji,Rank,Occurrences,Frequency,Cumulative Frequency,cumulative_frequency
年,1,27383261,0.0319094253598775,0.0319094253598775,0.0319094253598775
日,2,16694015,0.0194533596856552,0.0513627850455327,0.0513627850455327
月,3,13533379,0.0157703038753285,0.0671330889208613,0.0671330889208612
大,4,9205888,0.0107275242348744,0.0778606131557357,0.0778606131557356
学,5,7801260,0.0090907260345288,0.0869513391902646,0.0869513391902644
本,6,7239535,0.0084361538139201,0.0953874930041847,0.0953874930041845
人,7,5861052,0.0068298221064452,0.10221731511063,0.1022173151106297
国,8,5764254,0.0067170244175219,0.1089343395281519,0.1089343395281516
中,9,5336735,0.006218841033869,0.1151531805620209,0.11515318056202059
一,10,5102137,0.0059454664576789,0.1210986470196999,0.1210986470196995
市,11,4773930,0.005563010300646,0.126661657320346,0.12666165732034548
会,12,4566131,0.005320864316632,0.1319825216369781,0.1319825216369775
田,13,4278203,0.0049853448536645,0.1369678664906427,0.136967866490642
子,14,4141645,0.0048262152559043,0.141794081746547,0.14179408174654629
出,15,3837685,0.0044720138723514,0.1462660956188985,0.1462660956188977
山,16,3779610,0.0044043396870974,0.1506704353059959,0.1506704353059951
東,17,3775846,0.0043999535375787,0.1550703888435746,0.1550703888435738
作,18,3729705,0.0043461859167124,0.1594165747602871,0.1594165747602862
行,19,3702680,0.0043146939691189,0.1637312687294061,0.1637312687294051
部,20,3702017,0.0043139213822085,0.1680451901116147,0.16804519011161362
第,21,3689292,0.0042990930738597,0.1723442831854744,0.17234428318547332
県,22,3664851,0.0042706122342248,0.1766148954196993,0.17661489541969813
地,23,3463053,0.0040354591522463,0.1806503545719456,0.18065035457194442
上,24,3444396,0.0040137183468346,0.1846640729187802,0.184664072918779
道,25,3427845,0.0039944316410207,0.188658504559801,0.1886585045597997
合,26,3395133,0.0039563126922815,0.1926148172520825,0.1926148172520812
場,27,3301741,0.0038474839792509,0.1964623012313334,0.1964623012313321
高,28,3271545,0.0038122968987871,0.2002745981301206,0.2002745981301192
時,29,3208352,0.0037386587620887,0.2040132568922094,0.2040132568922079
生,30,3197254,0.0037257263796875,0.2077389832718969,0.20773898327189538
戦,31,3186736,0.0037134698651718,0.2114524531370687,0.21145245313706718
代,32,3171319,0.0036955045976029,0.2151479577346717,0.21514795773467008
社,33,3155663,0.0036772608258536,0.2188252185605254,0.21882521856052367
川,34,3088882,0.0035994416305811,0.2224246601911065,0.22242466019110477
名,35,2954295,0.0034426088183419,0.2258672690094485,0.22586726900944668
後,36,2924522,0.0034079146553187,0.2292751836647673,0.22927518366476538
発,37,2922787,0.0034058928781097,0.2326810765428771,0.23268107654287506
長,38,2911937,0.003393249487494,0.2360743260303711,0.23607432603036907
手,39,2835822,0.0033045534804236,0.2393788795107947,0.23937887951079267
校,40,2789958,0.0032511086447371,0.2426299881555318,0.24262998815552977
立,41,2746943,0.0032009837187155,0.2458309718742474,0.24583097187424527
新,42,2704609,0.0031516523548146,0.248982624229062,0.24898262422905987
小,43,2676805,0.0031192526467335,0.2521018768757956,0.2521018768757934
事,44,2674348,0.0031163895305361,0.2552182664063317,0.2552182664063295
野,45,2649661,0.0030876220296946,0.2583058884360263,0.2583058884360241
成,46,2615794,0.0030481571716318,0.2613540456076582,0.2613540456076559
者,47,2601467,0.0030314620695717,0.2643855076772299,0.2643855076772276
用,48,2495925,0.0029084750896305,0.2672939827668605,0.2672939827668581
間,49,2480019,0.0028899399955168,0.2701839227623774,0.2701839227623749
業,50,2437371,0.0028402427307262,0.2730241654931036,0.2730241654931011
和,51,2436670,0.0028394258628164,0.2758635913559201,0.2758635913559175
同,52,2405571,0.0028031865259724,0.2786667778818925,0.27866677788188987
島,53,2397903,0.002794251086411,0.2814610289683035,0.2814610289683009
京,54,2397020,0.0027932221358198,0.2842542511041234,0.28425425110412067
分,55,2365788,0.0027568278154779,0.2870110789196013,0.2870110789195986
家,56,2299001,0.0026790016284687,0.2896900805480701,0.2896900805480673
所,57,2265186,0.0026395973654576,0.2923296779135277,0.2923296779135249
開,58,2238270,0.002608232434415,0.2949379103479428,0.29493791034793987
