Kanji,Rank,Occurrences,Frequency,Cumulative Frequency
年,1,27383261,0.0319094253598775,0.0319094253598775
日,2,16694015,0.0194533596856552,0.0513627850455327
月,3,13533379,0.0157703038753285,0.0671330889208613
大,4,9205888,0.0107275242348744,0.0778606131557357
学,5,7801260,0.0090907260345288,0.0869513391902646
本,6,7239535,0.0084361538139201,0.0953874930041847
人,7,5861052,0.0068298221064452,0.10221731511063
国,8,5764254,0.0067170244175219,0.1089343395281519
中,9,5336735,0.006218841033869,0.1151531805620209
一,10,5102137,0.0059454664576789,0.1210986470196999
市,11,4773930,0.005563010300646,0.126661657320346
会,12,4566131,0.005320864316632,0.1319825216369781
田,13,4278203,0.0049853448536645,0.1369678664906427
子,14,4141645,0.0048262152559043,0.141794081746547
出,15,3837685,0.0044720138723514,0.1462660956188985
山,16,3779610,0.0044043396870974,0.1506704353059959
東,17,3775846,0.0043999535375787,0.1550703888435746
作,18,3729705,0.0043461859167124,0.1594165747602871
行,19,3702680,0.0043146939691189,0.1637312687294061
部,20,3702017,0.0043139213822085,0.1680451901116147
第,21,3689292,0.0042990930738597,0.1723442831854744
県,22,3664851,0.0042706122342248,0.1766148954196993
地,23,3463053,0.0040354591522463,0.1806503545719456
上,24,3444396,0.0040137183468346,0.1846640729187802
道,25,3427845,0.0039944316410207,0.188658504559801
合,26,3395133,0.0039563126922815,0.1926148172520825
場,27,3301741,0.0038474839792509,0.1964623012313334
高,28,3271545,0.0038122968987871,0.2002745981301206
時,29,3208352,0.0037386587620887,0.2040132568922094
生,30,3197254,0.0037257263796875,0.2077389832718969
戦,31,3186736,0.0037134698651718,0.2114524531370687
代,32,3171319,0.0036955045976029,0.2151479577346717
社,33,3155663,0.0036772608258536,0.2188252185605254
川,34,3088882,0.0035994416305811,0.2224246601911065
名,35,2954295,0.0034426088183419,0.2258672690094485
後,36,2924522,0.0034079146553187,0.2292751836647673
発,37,2922787,0.0034058928781097,0.2326810765428771
長,38,2911937,0.003393249487494,0.2360743260303711
手,39,2835822,0.0033045534804236,0.2393788795107947
校,40,2789958,0.0032511086447371,0.2426299881555318
立,41,2746943,0.0032009837187155,0.2458309718742474
新,42,2704609,0.0031516523548146,0.248982624229062
小,43,2676805,0.0031192526467335,0.2521018768757956
事,44,2674348,0.0031163895305361,0.2552182664063317
野,45,2649661,0.0030876220296946,0.2583058884360263
成,46,2615794,0.0030481571716318,0.2613540456076582
者,47,2601467,0.0030314620695717,0.2643855076772299
用,48,2495925,0.0029084750896305,0.2672939827668605
間,49,2480019,0.0028899399955168,0.2701839227623774
業,50,2437371,0.0028402427307262,0.2730241654931036
和,51,2436670,0.0028394258628164,0.2758635913559201
同,52,2405571,0.0028031865259724,0.2786667778818925
島,53,2397903,0.002794251086411,0.2814610289683035
京,54,2397020,0.0027932221358198,0.2842542511041234
分,55,2365788,0.0027568278154779,0.2870110789196013
家,56,2299001,0.0026790016284687,0.2896900805480701
所,57,2265186,0.0026395973654576,0.2923296779135277
開,58,2238270,0.002608232434415,0.2949379103479428
自,59,2206583,0.0025713079073699,0.2975092182553127
線,60,2181625,0.0025422246130854,0.3000514428683982
動,61,2175368,0.0025349333969488,0.302586376265347
定,62,2171775,0.0025307465119274,0.3051171227772744
回,63,2167508,0.0025257742218115,0.307642896999086
前,64,2166847,0.00252500396548,0.310167900964566
村,65,2154498,0.0025106138059672,0.3126785147705332
文,66,2153904,0.0025099216240294,0.3151884363945627
平,67,2144573,0.0024990483080999,0.3176874847026626
内,68,2134984,0.0024878743474903,0.3201753590501529
世,69,2131659,0.0024839997600435,0.3226593588101965
町,70,2119086,0.0024693485756923,0.3251287073858888
選,71,2116609,0.0024664621537056,0.3275951695395945
画,72,2115215,0.0024648377402016,0.3300600072797962
公,73,2056487,0.0023964026209317,0.3324564099007279
三,74,2027801,0.002362975127549,0.334819385028277
北,75,2013306,0.0023460842568601,0.3371654692851372
下,76,1998918,0.0023293180721432,0.3394947873572804
車,77,1992492,0.0023218299220882,0.3418166172793687
駅,78,1981410,0.0023089161843184,0.3441255334636871
的,79,1979901,0.0023071577625267,0.3464326912262139
原,80,1962384,0.0022867453870968,0.3487194366133107
主,81,1960210,0.0022842120478158,0.3510036486611265
通,82,1954907,0.0022780325178218,0.3532816811789483
全,83,1947473,0.0022693697559935,0.3555510509349419
物,84,1940355,0.0022610752256338,0.3578121261605757
放,85,1927158,0.0022456969006609,0.3600578230612367
女,86,1915601,0.0022322296503987,0.3622900527116354
海,87,1912023,0.0022280602447191,0.3645181129563546
送,88,1902505,0.002216969019661,0.3667350819760157
入,89,1871215,0.0021805071125306,0.3689155890885463
明,90,1854469,0.0021609931752725,0.3710765822638188
神,91,1841733,0.0021461520487396,0.3732227343125585
目,92,1831402,0.0021341134433525,0.375356847755911
号,93,1830145,0.0021326486745042,0.3774894964304153
方,94,1824649,0.0021262442436448,0.3796157406740602
機,95,1823095,0.0021244333838276,0.3817401740578878
体,96,1814531,0.0021144538449121,0.3838546279028
化,97,1767199,0.0020592983643018,0.3859139262671019
関,98,1753157,0.0020429353697372,0.3879568616368392
西,99,1738495,0.0020258498957089,0.3899827115325481
教,100,1735092,0.0020218844156844,0.3920045959482325
曲,101,1729372,0.0020152189599866,0.3940198149082192
法,102,1728997,0.0020147819764399,0.3960345968846592
位,103,1705958,0.0019879348726247,0.3980225317572839
現,104,1672901,0.0019494138990226,0.3999719456563066
語,105,1649860,0.0019225644646285,0.4018945101209351
設,106,1637184,0.001907793255463,0.4038023033763982
区,107,1633878,0.001903940808516,0.4057062441849142
初,108,1588753,0.0018513571217387,0.407557601306653
理,109,1588277,0.0018508024439569,0.4094084037506099
対,110,1581424,0.0018428167153035,0.4112512204659134
式,111,1580260,0.0018414603183747,0.4130926807842882
最,112,1575756,0.0018362118546574,0.4149288926389456
軍,113,1573250,0.0018332916392765,0.4167621842782222
表,114,1571035,0.0018307105231278,0.41859289480135
木,115,1569803,0.0018292748865159,0.4204221696878659
記,116,1556854,0.0018141855533286,0.4222363552411945
水,117,1554726,0.0018117058173626,0.4240480610585572
当,118,1545535,0.0018009956419572,0.4258490567005145
連,119,1534569,0.0017882170777644,0.427637273778279
都,120,1531965,0.0017851826640167,0.4294224564422957
州,121,1523085,0.0017748348936326,0.4311972913359283
演,122,1520121,0.00177138097568,0.4329686723116084
性,123,1514238,0.0017645255778006,0.434733197889409
力,124,1510390,0.0017600415439675,0.4364932394333765
数,125,1477987,0.0017222826696706,0.4382155221030472
見,126,1470234,0.0017132481805053,0.4399287702835526
在,127,1465993,0.0017083061879154,0.441637076471468
書,128,1462763,0.0017045423029671,0.4433416187744351
元,129,1458861,0.0016999953435033,0.4450416141179384
治,130,1456866,0.0016976705910352,0.4467392847089737
正,131,1439037,0.0016768946452945,0.4484161793542682
民,132,1436708,0.0016741806861476,0.4500903600404158
美,133,1430423,0.0016668568419061,0.451757216882322
勝,134,1410198,0.0016432888626248,0.4534005057449468
以,135,1409698,0.0016427062178959,0.4550432119628428
番,136,1402957,0.0016348510016618,0.4566780629645046
実,137,1401219,0.0016328257285844,0.458310888693089
員,138,1380829,0.0016090654765425,0.4599199541696316
南,139,1369554,0.0015959268379073,0.4615158810075389
金,140,1369109,0.0015954082840986,0.4631112892916376
王,141,1363752,0.0015891658284739,0.4647004551201116
多,142,1356410,0.0015806102732757,0.4662810653933874
組,143,1340747,0.0015623583445003,0.4678434237378877
二,144,1337387,0.0015584429719225,0.4694018667098102
藤,145,1326693,0.0015459813664622,0.4709478480762724
度,146,1324201,0.0015430774651337,0.4724909255414061
岡,147,1323178,0.0015418853740185,0.4740328109154246
期,148,1319933,0.0015381040097283,0.475570914925153
鉄,149,1305211,0.0015209486183326,0.4770918635434856
井,150,1297501,0.0015119642366139,0.4786038277800996
政,151,1289758,0.0015029414003432,0.4801067691804428
等,152,1287921,0.0015008007636095,0.4816075699440524
天,153,1260231,0.0014685338985266,0.4830761038425791
電,154,1256816,0.0014645544350287,0.4845406582776078
空,155,1245479,0.0014513435484471,0.485992001826055
映,156,1242937,0.0014483813826457,0.4874403832087007
加,157,1239676,0.0014445813737243,0.4888849645824251
制,158,1235734,0.0014399878026821,0.4903249523851072
郎,159,1227297,0.0014301562555278,0.4917551086406351
共,160,1226895,0.0014296878091658,0.4931847964498009
編,161,1223672,0.0014259320812437,0.4946107285310447
院,162,1208662,0.0014084410864841,0.4960191696175289
優,163,1207800,0.0014074366069716,0.4974266062245006
特,164,1202402,0.0014011463744791,0.4988277525989798
楽,165,1187023,0.0013832253879097,0.5002109779868895
知,166,1178372,0.0013731444688114,0.5015841224557009
界,167,1173193,0.0013671094347101,0.5029512318904111
松,168,1171979,0.0013656947733085,0.5043169266637196
太,169,1167116,0.0013600279706759,0.5056769546343955
話,170,1156518,0.0013476782330035,0.5070246328673991
使,171,1156166,0.0013472680511144,0.5083719009185135
音,172,1151287,0.0013415826038504,0.509713483522364
外,173,1148918,0.0013388220331252,0.5110523055554893
品,174,1144888,0.0013341259166108,0.5123864314721002
科,175,1142710,0.001331587916172,0.5137180193882722
務,176,1141038,0.0013296395521988,0.5150476589404711
売,177,1134627,0.0013221688814857,0.5163698278219568
信,178,1131080,0.0013180355997793,0.5176878634217362
賞,179,1126635,0.00131285588814,0.5190007193098762
気,180,1118587,0.0013034776385847,0.520304196948461
口,181,1118474,0.001303345960876,0.521607542909337
形,182,1112171,0.0012960011414243,0.5229035440507613
経,183,1110324,0.001293848851796,0.5241973929025574
議,184,1109192,0.0012925297441299,0.5254899226466874
役,185,1100043,0.0012818685108817,0.5267717911575691
郡,186,1094341,0.0012752240303941,0.5280470151879633
館,187,1085315,0.0012647061277491,0.5293117213157125
身,188,1084330,0.0012635583176333,0.5305752796333458
士,189,1079550,0.0012579882340257,0.5318332678673716
団,190,1075136,0.0012528446463595,0.5330861125137312
版,191,1074307,0.0012518786213991,0.5343379911351304
取,192,1072105,0.0012493126540133,0.5355873037891438
点,193,1071678,0.0012488150754149,0.5368361188645587
石,194,1067082,0.0012434594050675,0.5380795782696263
能,195,1064680,0.0012406603797902,0.5393202386494165
際,196,1060405,0.0012356787673586,0.5405559174167751
宮,197,1055964,0.0012305037168771,0.5417864211336523
昭,198,1051189,0.0012249394597168,0.5430113605933691
