Kanji,Rank,Occurrences,Frequency,Cumulative Frequency,AVG FREQ,FREQ (1),FREQ BIG 5,meanings,grade,jlpt,heisig_en,stroke_count,unicode,on_readings,kun_readings
年,1,27383261,0.0319094253598775,0.0319094253598775,17,18,24,"counter for years, year",1,4,year,6,5E74,ネン,とし
日,2,16694015,0.0194533596856552,0.0513627850455327,8,6,10,"Japan, counter for days, day, sun",1,4,day,4,65E5,"ジツ, ニチ","-か, -び, ひ"
月,3,13533379,0.0157703038753285,0.0671330889208613,49,50,66,"month, moon",1,4,month,4,6708,"ガツ, ゲツ",つき
大,4,9205888,0.0107275242348744,0.0778606131557357,11,10,13,"big, large",1,4,large,3,5927,"タイ, ダイ","-おお.いに, おお-, おお.きい"
学,5,7801260,0.0090907260345288,0.0869513391902646,53,52,61,"learning, science, study",1,4,study,8,5B66,ガク,まな.ぶ
本,6,7239535,0.0084361538139201,0.0953874930041847,18,15,19,"book, counter for long cylindrical things, main, origin, present, real, true",1,4,book,5,672C,ホン,もと
人,7,5861052,0.0068298221064452,0.10221731511063,8,7,8,person,1,4,person,2,4EBA,"ジン, ニン","-と, -り, ひと"
国,8,5764254,0.0067170244175219,0.1089343395281519,33,36,48,country,2,4,country,8,56FD,コク,くに
中,9,5336735,0.006218841033869,0.1151531805620209,18,16,20,"center, in, inside, mean, middle",1,4,in,4,4E2D,チュウ,"あた.る, うち, なか"
一,10,5102137,0.0059454664576789,0.1210986470196999,10,9,11,"one, one radical (no.1)",1,4,one,1,4E00,"イチ, イツ","ひと-, ひと.つ"
市,11,4773930,0.005563010300646,0.126661657320346,118,126,163,"city, market, town",2,3,market,5,5E02,シ,いち
会,12,4566131,0.005320864316632,0.1319825216369781,29,28,36,"association, interview, join, meet, meeting, party",2,4,meeting,6,4F1A,"エ, カイ","あ.う, あ.わせる, あつ.まる"
田,13,4278203,0.0049853448536645,0.1369678664906427,222,184,124,"rice field, rice paddy",1,3,rice field,5,7530,デン,た
